"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/01/2024","AQS","020900034","1","1.3","ppb","1","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/02/2024","AQS","020900034","1","1.7","ppb","1","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/03/2024","AQS","020900034","1","4","ppb","6","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/04/2024","AQS","020900034","1","2.6","ppb","3","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/05/2024","AQS","020900034","1","3.5","ppb","4","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/06/2024","AQS","020900034","1","4.6","ppb","6","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/07/2024","AQS","020900034","1","3.3","ppb","4","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/08/2024","AQS","020900034","1","1.8","ppb","1","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/09/2024","AQS","020900034","1","1.8","ppb","1","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/10/2024","AQS","020900034","1","3.1","ppb","4","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/11/2024","AQS","020900034","1","2.4","ppb","3","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/12/2024","AQS","020900034","1","2.3","ppb","3","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/13/2024","AQS","020900034","1","0.4","ppb","0","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/14/2024","AQS","020900034","1","2.3","ppb","3","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/15/2024","AQS","020900034","1","4.6","ppb","6","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/16/2024","AQS","020900034","1","2","ppb","3","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/17/2024","AQS","020900034","1","3.2","ppb","4","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/18/2024","AQS","020900034","1","2.5","ppb","3","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/19/2024","AQS","020900034","1","2","ppb","3","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/20/2024","AQS","020900034","1","2","ppb","3","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/21/2024","AQS","020900034","1","2.7","ppb","3","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/22/2024","AQS","020900034","1","2.7","ppb","3","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/23/2024","AQS","020900034","1","2.3","ppb","3","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/24/2024","AQS","020900034","1","2.9","ppb","3","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"04/25/2024","AQS","020900034","1","2.7","ppb","3","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
